"Time","data_time"
801.894,738269
801.9,738269
801.906,738269
801.912,738269
801.918,738269
801.924,738269
801.93,738269
801.936,738269
801.942,738269
801.948,738269
801.954,738269
801.96,738269
801.966,738269
801.972,738269
801.978,738269
801.984,738269
801.99,738269
801.996,738269
802.002,738269
802.008,738269
802.014,738269
802.02,738269
802.026,738269
802.032,738269
802.038,738269
802.044,738269
802.05,738269
802.056,738269
802.062,738269
802.068,738269
802.074,738269
802.08,738269
802.086,738269
802.092,738269
802.098,738269
802.104,738269
802.11,738269
802.116,738269
802.122,738269
802.128,738269
802.134,738269
802.14,738269
802.146,738269
802.152,738269
802.158,738269
802.164,738269
802.17,738269
802.176,738269
802.182,738269
802.188,738269
802.194,738269
802.2,738269
802.206,738269
802.212,738269
802.218,738269
802.224,738269
802.23,738269
802.236,738269
802.242,738269
802.248,738269
802.254,738269
802.26,738269
802.266,738269
802.272,738269
802.278,738269
802.284,738269
802.29,738269
802.296,738269
802.302,738269
802.308,738269
802.314,738269
802.32,738269
802.326,738269
802.332,738269
802.338,738269
802.344,738269
802.35,738269
802.356,738269
802.362,738269
802.368,738269
802.374,738269
802.38,738269
802.386,738269
802.392,738269
802.398,738269
802.404,738269
802.41,738269
802.416,738269
802.422,738269
802.428,738269
802.434,738269
802.44,738269
802.446,738269
802.452,738269
802.458,738269
802.464,738269
802.47,738269
802.476,738269
802.482,738269
802.488,738269
802.494,738269
802.5,738269
802.506,738269
802.512,738269
802.518,738269
802.524,738269
802.53,738269
802.536,738269
802.542,738269
802.548,738269
802.554,738269
802.56,738269
802.566,738269
802.572,738269
802.578,738269
802.584,738269
802.59,738269
802.596,738269
802.602,738269
802.608,738269
802.614,738269
802.62,738269
802.626,738269
802.632,738269
802.638,738269
802.644,738269
802.65,738269
802.656,738269
802.662,738269
802.668,738269
802.674,738269
802.68,738269
802.686,738269
802.692,738269
802.698,738269
802.704,738269
802.71,738269
802.716,738269
802.722,738269
802.728,738269
802.734,738269
802.74,738269
802.746,738269
802.752,738269
802.758,738269
802.764,738269
802.77,738269
802.776,738269
802.782,738269
802.788,738269
802.794,738269
802.8,738269
802.806,738269
802.812,738269
802.818,738269
802.824,738269
802.83,738269
802.836,738269
802.842,738269
802.848,738269
802.854,738269
802.86,738269
802.866,738269
802.872,738269
802.878,738269
802.884,738269
802.89,738269
802.896,738269
802.902,738269
802.908,738269
802.914,738269
802.92,738269
802.926,738269
802.932,738269
802.938,738269
802.944,738269
802.95,738269
802.956,738269
802.962,738269
802.968,738269
802.974,738269
802.98,738269
802.986,738269
802.992,738269
802.998,738269
803.004,738269
803.01,738269
803.016,738269
803.022,738269
803.028,738269
803.034,738269
803.04,738269
803.046,738269
803.052,738269
803.058,738269
803.064,738269
803.07,738269
803.076,738269
803.082,738269
803.088,738269
803.094,738269
803.1,738269
803.106,738269
803.112,738269
803.118,738269
803.124,738269
803.13,738269
803.136,738269
803.142,738269
803.148,738269
803.154,738269
803.16,738269
803.166,738269
803.172,738269
803.178,738269
803.184,738269
803.19,738269
803.196,738269
803.202,738269
803.208,738269
803.214,738269
803.22,738269
803.226,738269
803.232,738269
803.238,738269
803.244,738269
803.25,738269
803.256,738269
803.262,738269
803.268,738269
803.274,738269
803.28,738269
803.286,738269
803.292,738269
803.298,738269
803.304,738269
803.31,738269
803.316,738269
803.322,738269
803.328,738269
803.334,738269
803.34,738269
803.346,738269
803.352,738269
803.358,738269
803.364,738269
803.37,738269
803.376,738269
803.382,738269
803.388,738269
803.394,738269
803.4,738269
803.406,738269
803.412,738269
803.418,738269
803.424,738269
803.43,738269
803.436,738269
803.442,738269
803.448,738269
803.454,738269
803.46,738269
803.466,738269
803.472,738269
803.478,738269
803.484,738269
803.49,738269
803.496,738269
803.502,738269
803.508,738269
803.514,738269
803.52,738269
803.526,738269
803.532,738269
803.538,738269
803.544,738269
803.55,738269
803.556,738269
803.562,738269
803.568,738269
803.574,738269
803.58,738269
803.586,738269
803.592,738269
803.598,738269
803.604,738269
803.61,738269
803.616,738269
803.622,738269
803.628,738269
803.634,738269
803.64,738269
803.646,738269
803.652,738269
803.658,738269
803.664,738269
803.67,738269
803.676,738269
803.682,738269
803.688,738269
803.694,738269
803.7,738269
803.706,738269
803.712,738269
803.718,738269
803.724,738269
803.73,738269
803.736,738269
803.742,738269
803.748,738269
803.754,738269
803.76,738269
803.766,738269
803.772,738269
803.778,738269
803.784,738269
803.79,738269
803.796,738269
803.802,738269
803.808,738269
803.814,738269
803.82,738269
803.826,738269
803.832,738269
803.838,738269
803.844,738269
803.85,738269
803.856,738269
803.862,738269
803.868,738269
803.874,738269
803.88,738269
803.886,738269
803.892,738269
803.898,738269
803.904,738269
803.91,738269
803.916,738269
803.922,738269
803.928,738269
803.934,738269
803.94,738269
803.946,738269
803.952,738269
803.958,738269
803.964,738269
803.97,738269
803.976,738269
803.982,738269
803.988,738269
803.994,738269
804,738269
804.006,738269
804.012,738269
804.018,738269
804.024,738269
804.03,738269
804.036,738269
804.042,738269
804.048,738269
804.054,738269
804.06,738269
804.066,738269
804.072,738269
804.078,738269
804.084,738269
804.09,738269
804.096,738269
804.102,738269
804.108,738269
804.114,738269
804.12,738269
804.126,738269
804.132,738269
804.138,738269
804.144,738269
804.15,738269
804.156,738269
804.162,738269
804.168,738269
804.174,738269
804.18,738269
804.186,738269
804.192,738269
804.198,738269
804.204,738269
804.21,738269
804.216,738269
804.222,738269
804.228,738269
804.234,738269
804.24,738269
804.246,738269
804.252,738269
804.258,738269
804.264,738269
804.27,738269
804.276,738269
804.282,738269
804.288,738269
804.294,738269
804.3,738269
804.306,738269
804.312,738269
804.318,738269
804.324,738269
804.33,738269
804.336,738269
804.342,738269
804.348,738269
804.354,738269
804.36,738269
804.366,738269
804.372,738269
804.378,738269
804.384,738269
804.39,738269
804.396,738269
804.402,738269
804.408,738269
804.414,738269
804.42,738269
804.426,738269
804.432,738269
804.438,738269
804.444,738269
804.45,738269
804.456,738269
804.462,738269
804.468,738269
804.474,738269
804.48,738269
804.486,738269
804.492,738269
804.498,738269
804.504,738269
804.51,738269
804.516,738269
804.522,738269
804.528,738269
804.534,738269
804.54,738269
804.546,738269
804.552,738269
804.558,738269
804.564,738269
804.57,738269
804.576,738269
804.582,738269
804.588,738269
804.594,738269
804.6,738269
804.606,738269
804.612,738269
804.618,738269
804.624,738269
804.63,738269
804.636,738269
804.642,738269
804.648,738269
804.654,738269
804.66,738269
804.666,738269
804.672,738269
804.678,738269
804.684,738269
804.69,738269
804.696,738269
804.702,738269
804.708,738269
804.714,738269
804.72,738269
804.726,738269
804.732,738269
804.738,738269
804.744,738269
804.75,738269
804.756,738269
804.762,738269
804.768,738269
804.774,738269
804.78,738269
804.786,738269
804.792,738269
804.798,738269
804.804,738269
804.81,738269
804.816,738269
804.822,738269
804.828,738269
804.834,738269
804.84,738269
804.846,738269
804.852,738269
804.858,738269
804.864,738269
804.87,738269
804.876,738269
804.882,738269
804.888,738269
804.894,738269
804.9,738269
804.906,738269
804.912,738269
804.918,738269
804.924,738269
804.93,738269
804.936,738269
804.942,738269
804.948,738269
804.954,738269
804.96,738269
804.966,738269
804.972,738269
804.978,738269
804.984,738269
